Supplier Name, Hydrologic Region, State-mandated Conservation Standard - Previous (3/1/2016), State-mandated Conservation Standard - Current (Effective 6/1/2016), Did Supplier Self-certify?, Enforceable Cumulative Percent Savings (as compared to 2013) - June 2015-Aug 2016, June 2016 to Aug 2016 Self-certified?, Applicable Cumulative Savings by Supplier (as compared to 2013), Missed Conservation Standard By, Order Status, Monthly Savings (as compared to 2013) - Aug 2015, Monthly Savings (as compared to 2013) - Aug 2016, Estimated Aug 2016 Monthly R-GPCD, Total Population Served
California City  City of,South Lahontan,28%,28%,No,13.1%,18.0%,13.1%,14.9%,C,16.8%,20.5%,148.5,"14,120"
Monterey Park  City of,South Coast,20%,14%,Yes,17.4%,17.3%,17.3%,-3.3%,,17.0%,15.8%,100.8,"62,183"
Daly City  City of,San Francisco Bay,8%,4%,Yes,11.0%,8.2%,8.2%,-4.2%,,7.8%,3.3%,55.7,"109,139"
"Modesto, City of",San Joaquin River,33%,20%,Yes,28.4%,24.6%,24.6%,-4.6%,,28.9%,21.2%,202.9,"223,432"
Exeter  City of,Tulare Lake,34%,21%,Yes,27.0%,25.6%,25.6%,-4.6%,,33.1%,22.8%,200.1,"10,572"
Covina  City of ,South Coast,26%,12%,Yes,21.9%,16.6%,16.6%,-4.6%,,26.2%,16.9%,124.0,"33,300"
Nipomo Community Services District,Central Coast,28%,23%,Yes,31.1%,28.1%,28.1%,-5.1%,,34.1%,28.3%,128.6,"13,348"
Compton  City of,South Coast,8%,8%,No,13.7%,15.6%,13.7%,-5.7%,,12.2%,13.7%,62.1,"81,963"
San Buenaventura  City of,South Coast,16%,16%,No,21.8%,21.7%,21.8%,-5.8%,,23.4%,20.9%,74.8,"113,478"
Vernon  City of,South Coast,8%,0%,Yes,9.9%,5.9%,5.9%,-5.9%,A,6.0%,2.6%,45.7,112
Orchard Dale Water District,South Coast,8%,0%,Yes,16.7%,6.3%,6.3%,-6.3%,,16.4%,-17.0%,88.6,"25,000"
Humboldt Community Service District,North Coast,12%,0%,Yes,8.4%,7.2%,7.2%,-7.2%,,8.3%,9.7%,62.0,"22,842"
Paramount  City of,South Coast,8%,0%,Yes,11.4%,7.3%,7.3%,-7.3%,,15.7%,11.2%,67.0,"55,302"
Estero Municipal Improvement District,San Francisco Bay,12%,0%,Yes,12.2%,7.9%,7.9%,-7.9%,,16.1%,-2.3%,76.9,"37,339"
Arroyo Grande  City of,Central Coast,28%,28%,No,36.4%,36.3%,36.4%,-8.4%,,36.0%,35.5%,94.9,"17,636"
Norwalk City of,South Coast,17%,0%,Yes,12.7%,8.6%,8.6%,-8.6%,,18.8%,-1.6%,116.8,"18,361"
South Tahoe Public Utilities District,North Lahontan,17%,0%,Yes,16.5%,8.6%,8.6%,-8.6%,,21.1%,5.8%,105.1,"33,124"
Casitas Municipal Water District,South Coast,32%,0%,Yes,18.6%,8.7%,8.7%,-8.7%,,49.8%,5.9%,116.4,"9,944"
Golden State Water Company Norwalk,South Coast,8%,0%,Yes,14.5%,8.8%,8.8%,-8.8%,,17.8%,12.3%,68.0,"44,466"
Crestline Village Water District,South Lahontan,8%,0%,Yes,19.3%,9.0%,9.0%,-9.0%,,18.6%,10.3%,59.8,"7,740"
Golden State Water Company Florence Graham,South Coast,8%,0%,Yes,9.4%,9.0%,9.0%,-9.0%,,11.4%,8.8%,57.1,"65,492"
Phelan Pinon Hills Community Services District,South Lahontan,24%,0%,Yes,17.6%,9.1%,9.1%,-9.1%,,20.0%,8.3%,124.1,"20,913"
South Gate  City of,South Coast,8%,0%,Yes,10.9%,9.2%,9.2%,-9.2%,,4.2%,4.7%,59.0,"88,654"
"Lathrop, City of ",San Joaquin River,18%,18%,No,27.4%,20.4%,27.4%,-9.4%,,32.4%,18.6%,118.7,"20,353"
"Colton, City of",South Coast,18%,0%,Yes,14.6%,9.6%,9.6%,-9.6%,,15.9%,5.7%,127.7,"47,429"
San Luis Obispo  City of,Central Coast,12%,12%,No,21.7%,22.5%,21.7%,-9.7%,,24.5%,22.1%,58.3,"46,117"
Valley County Water District,South Coast,14%,10%,Yes,21.7%,20.0%,20.0%,-10.0%,,25.7%,18.2%,89.8,"55,703"
"Imperial, City of",Colorado River,20%,0%,Yes,11.3%,10.1%,10.1%,-10.1%,,8.7%,2.6%,125.0,"18,022"
La Habra  City of Public Works,South Coast,28%,0%,Yes,18.1%,10.2%,10.2%,-10.2%,,22.6%,5.0%,114.1,"63,118"
El Monte  City of,South Coast,8%,0%,Yes,12.5%,10.3%,10.3%,-10.3%,,22.9%,10.5%,59.2,"22,968"
Yuba City  City of,Sacramento River,28%,15%,Yes,26.7%,25.6%,25.6%,-10.6%,,30.9%,20.8%,153.3,"73,202"
Inglewood  City of,South Coast,11%,5%,Yes,15.7%,15.7%,15.7%,-10.7%,,17.3%,14.9%,72.6,"86,418"
Ceres  City of,San Joaquin River,26%,13%,Yes,24.3%,23.8%,23.8%,-10.8%,,31.7%,30.9%,118.7,"47,639"
"Greenfield, City of",Central Coast,14%,5%,Yes,23.5%,15.9%,15.9%,-10.9%,,22.6%,11.8%,89.4,"17,898"
Lompoc  City of,Central Coast,12%,12%,No,22.9%,25.4%,22.9%,-10.9%,,31.9%,28.6%,59.3,"41,541"
Folsom  City of,Sacramento River,28%,0%,Yes,22.2%,11.0%,11.0%,-11.0%,,31.0%,7.5%,259.2,"63,951"
Los Angeles County Public Works Waterworks District 29,South Coast,36%,0%,Yes,18.1%,11.1%,11.1%,-11.1%,,20.4%,7.9%,301.6,"22,264"
"City of Big Bear Lake, Dept of Water & Power",South Coast,13%,0%,Yes,13.2%,11.1%,11.1%,-11.1%,,13.0%,12.6%,72.5,"25,819"
Riverbank  City of,San Joaquin River,30%,0%,Yes,13.8%,11.5%,11.5%,-11.5%,,-17.4%,-22.3%,180.6,"23,734"
Bakersfield  City of,Tulare Lake,31%,9%,Yes,24.7%,20.7%,20.7%,-11.7%,,32.0%,21.3%,232.7,"146,525"
Beaumont-Cherry Valley Water District,South Coast,32%,0%,Yes,21.2%,11.7%,11.7%,-11.7%,,22.2%,0.5%,234.0,"43,111"
Palmdale Water District,South Lahontan,28%,10%,Yes,24.5%,21.7%,21.7%,-11.7%,,25.2%,19.0%,146.3,"116,508"
Hawthorne  City of,South Coast,16%,0%,Yes,9.5%,11.8%,11.8%,-11.8%,,11.3%,14.1%,62.6,"44,543"
West Kern Water District,Tulare Lake,25%,0%,Yes,12.7%,11.8%,11.8%,-11.8%,A,24.2%,12.9%,115.1,"20,591"
Marin Municipal Water District,San Francisco Bay,20%,0%,Yes,19.1%,12.0%,12.0%,-12.0%,,20.0%,11.1%,109.5,"189,400"
California-American Water Company San Diego District,South Coast,8%,0%,Yes,21.8%,12.2%,12.2%,-12.2%,,23.6%,10.0%,73.9,"94,043"
California Water Service Company Dominguez,South Coast,15%,0%,Yes,14.2%,12.4%,12.4%,-12.4%,,29.5%,16.4%,76.5,"142,714"
Golden State Water Company Southwest,South Coast,9%,0%,Yes,12.1%,12.5%,12.5%,-12.5%,,13.9%,10.7%,64.9,"271,677"
San Francisco Public Utilities Commission,San Francisco Bay,8%,0%,Yes,14.0%,12.5%,12.5%,-12.5%,,13.7%,12.4%,41.3,"859,276"
"East Palo Alto, City of",San Francisco Bay,8%,8%,No,20.7%,14.6%,20.7%,-12.7%,,5.2%,6.9%,49.7,"29,143"
Whittier  City of,South Coast,17%,0%,Yes,19.7%,12.8%,12.8%,-12.8%,,22.8%,12.9%,113.8,"49,954"
San Juan Water District,Sacramento River,33%,0%,Yes,29.2%,12.8%,12.8%,-12.8%,,37.4%,10.4%,520.8,"32,779"
Golden State Water Company Artesia,South Coast,9%,0%,Yes,15.2%,12.8%,12.8%,-12.8%,,18.8%,11.3%,76.4,"47,978"
Shasta Lake  City of,Sacramento River,25%,10%,Yes,34.0%,22.8%,22.8%,-12.8%,,36.2%,14.1%,206.6,"10,293"
Elsinore Valley Municipal Water District,South Coast,27%,0%,Yes,19.2%,13.0%,13.0%,-13.0%,,27.0%,11.8%,131.3,"151,414"
Fairfield  City of,Sacramento River,19%,0%,Yes,19.8%,13.0%,13.0%,-13.0%,,25.0%,11.1%,106.3,"108,392"
Vallejo  City of,San Francisco Bay,16%,0%,Yes,18.0%,13.2%,13.2%,-13.2%,,21.2%,14.1%,98.5,"125,200"
West Valley Water District,South Coast,28%,0%,Yes,19.4%,13.3%,13.3%,-13.3%,,18.1%,6.0%,183.3,"81,421"
Mammoth Community Water District,South Lahontan,17%,17%,No,30.4%,31.4%,30.4%,-13.4%,,34.7%,31.1%,89.6,"16,739"
El Centro  City of,Colorado River,20%,0%,Yes,13.7%,13.4%,13.4%,-13.4%,,12.2%,6.7%,130.7,"44,311"
Oxnard  City of,South Coast,12%,0%,Yes,16.0%,13.4%,13.4%,-13.4%,,18.9%,11.8%,60.3,"196,720"
Golden State Water Company Bell-Bell Gardens,South Coast,8%,0%,Yes,13.4%,13.4%,13.4%,-13.4%,,11.9%,10.6%,54.8,"57,934"
Crescent City  City of,North Coast,16%,0%,Yes,15.8%,13.6%,13.6%,-13.6%,,20.0%,7.7%,75.8,"18,290"
Lodi  City of Public Works Department,San Joaquin River,30%,6%,Yes,26.1%,19.6%,19.6%,-13.6%,,27.2%,18.1%,172.5,"63,651"
Long Beach  City of,South Coast,9%,0%,Yes,15.1%,13.7%,13.7%,-13.7%,,17.8%,13.1%,73.1,"486,810"
Mesa Water District,South Coast,13%,0%,Yes,20.4%,13.8%,13.8%,-13.8%,,25.7%,12.4%,88.0,"110,000"
Coachella  City of,Colorado River,20%,0%,Yes,21.1%,13.9%,13.9%,-13.9%,,21.0%,13.0%,109.4,"45,407"
Valley Water Company,South Coast,34%,0%,Yes,22.5%,13.9%,13.9%,-13.9%,,27.7%,12.0%,359.9,"9,900"
Loma Linda  City of,South Coast,30%,0%,Yes,19.1%,13.9%,13.9%,-13.9%,,22.7%,11.1%,165.1,"23,751"
Eureka  City of,North Coast,4%,0%,Yes,12.5%,14.0%,14.0%,-14.0%,,13.4%,14.0%,71.5,"27,052"
Los Angeles Department of Water and Power,South Coast,14%,0%,Yes,15.6%,14.0%,14.0%,-14.0%,,17.4%,13.3%,84.1,"4,061,504"
Coastside County Water District,San Francisco Bay,8%,0%,Yes,19.8%,14.1%,14.1%,-14.1%,,26.7%,18.4%,81.2,"16,704"
Golden State Water Company Culver City,South Coast,16%,0%,Yes,16.3%,14.1%,14.1%,-14.1%,,17.0%,12.7%,76.6,"36,215"
Vista Irrigation District,South Coast,12%,0%,Yes,18.1%,14.2%,14.2%,-14.2%,,25.9%,11.8%,102.4,"127,699"
Corona  City of,South Coast,28%,0%,Yes,18.5%,14.3%,14.3%,-14.3%,,21.5%,12.8%,129.2,"185,660"
Golden State Water Company S San Gabriel,South Coast,10%,0%,Yes,13.8%,14.3%,14.3%,-14.3%,,12.1%,13.9%,65.1,"27,656"
North Tahoe Public Utility District,North Lahontan,25%,0%,Yes,21.7%,14.4%,14.4%,-14.4%,,28.0%,13.2%,175.0,"7,500"
Lake Hemet Municipal Water District,South Coast,26%,15%,Yes,35.5%,29.4%,29.4%,-14.4%,,35.3%,28.1%,145.9,"52,914"
Western Municipal Water District of Riverside,South Coast,28%,0%,Yes,22.1%,14.4%,14.4%,-14.4%,,28.3%,9.7%,178.5,"96,139"
Pinedale County Water District,Tulare Lake,14%,14%,No,28.4%,24.8%,28.4%,-14.4%,,27.0%,19.7%,155.5,"16,735"
Huntington Park  City of,South Coast,8%,0%,Yes,13.4%,14.5%,14.5%,-14.5%,,14.0%,14.9%,46.0,"64,219"
Ontario  City of,South Coast,20%,0%,Yes,19.4%,14.5%,14.5%,-14.5%,,22.1%,11.1%,113.1,"169,869"
Joshua Basin Water District,Colorado River,20%,0%,Yes,21.4%,14.6%,14.6%,-14.6%,,23.6%,13.7%,107.3,"9,514"
Goleta Water District,Central Coast,12%,12%,No,26.6%,27.9%,26.6%,-14.6%,,21.8%,25.5%,55.3,"86,946"
"Windsor, Town of",North Coast,16%,0%,Yes,22.0%,14.6%,14.6%,-14.6%,,23.2%,12.9%,99.1,"27,183"
Rowland Water District,South Coast,20%,0%,Yes,13.0%,14.6%,14.6%,-14.6%,,18.9%,13.9%,92.8,"58,000"
San Diego  City of,South Coast,8%,0%,Yes,17.6%,14.8%,14.8%,-14.8%,,21.3%,11.0%,73.6,"1,339,958"
Huntington Beach  City of,South Coast,13%,0%,Yes,19.2%,14.9%,14.9%,-14.9%,,23.3%,12.2%,96.3,"196,041"
McKinleyville Community Service District,North Coast,4%,0%,Yes,15.3%,14.9%,14.9%,-14.9%,,25.3%,16.9%,129.4,"16,900"
Big Bear City Community Services District,South Coast,13%,0%,Yes,16.4%,14.9%,14.9%,-14.9%,,13.3%,10.6%,79.0,"14,211"
Bella Vista Water District,Sacramento River,33%,33%,No,48.1%,36.6%,48.1%,-15.1%,,55.6%,30.4%,423.7,"18,426"
Rohnert Park  City of,North Coast,16%,0%,Yes,17.4%,15.1%,15.1%,-15.1%,,1.3%,10.5%,85.6,"43,398"
Riverside  City of,South Coast,25%,0%,Yes,20.1%,15.2%,15.2%,-15.2%,,23.5%,12.6%,142.8,"301,389"
Sierra Madre  City of,South Coast,30%,0%,Yes,19.9%,15.2%,15.2%,-15.2%,,17.4%,8.3%,199.2,"11,100"
Lake Arrowhead Community Services District,South Lahontan,13%,0%,Yes,24.1%,15.2%,15.2%,-15.2%,,30.6%,10.0%,88.1,"22,908"
Jurupa Community Service District,South Coast,23%,0%,Yes,19.3%,15.3%,15.3%,-15.3%,,21.7%,11.1%,177.4,"118,731"
Garden Grove  City of,South Coast,20%,0%,Yes,18.7%,15.4%,15.4%,-15.4%,,14.7%,7.0%,85.8,"177,020"
El Dorado Irrigation District,Sacramento River,24%,0%,Yes,27.1%,15.4%,15.4%,-15.4%,,29.9%,14.3%,208.2,"118,500"
California Water Service Company East Los Angeles,South Coast,8%,0%,Yes,15.3%,15.4%,15.4%,-15.4%,,17.3%,15.7%,45.8,"158,752"
California-American Water Company Monterey District,Central Coast,8%,0%,Yes,19.0%,15.5%,15.5%,-15.5%,,15.7%,16.5%,68.1,"91,884"
Olivehurst Public Utility District,Sacramento River,33%,10%,Yes,35.2%,25.5%,25.5%,-15.5%,,48.0%,35.2%,200.8,"19,509"
Laguna Beach County Water District,South Coast,24%,0%,Yes,19.3%,15.5%,15.5%,-15.5%,,21.8%,16.5%,97.7,"19,121"
Eastern Municipal Water District,South Coast,20%,0%,Yes,18.9%,15.6%,15.6%,-15.6%,,17.8%,11.1%,122.9,"555,468"
Seal Beach  City of,South Coast,12%,0%,Yes,16.3%,15.6%,15.6%,-15.6%,,20.1%,14.7%,68.7,"25,561"
Chino Hills  City of,South Coast,28%,0%,Yes,23.8%,15.6%,15.6%,-15.6%,,25.0%,10.2%,149.1,"74,738"
Cerritos  City of,South Coast,21%,0%,Yes,20.1%,15.6%,15.6%,-15.6%,,29.7%,14.3%,137.6,"49,041"
Chino  City of,South Coast,21%,0%,Yes,18.5%,15.7%,15.7%,-15.7%,,24.3%,12.6%,106.1,"74,639"
Sonoma  City of,San Francisco Bay,28%,0%,Yes,26.1%,15.8%,15.8%,-15.8%,,21.8%,12.5%,134.8,"11,579"
Azusa  City of,South Coast,18%,3%,Yes,20.6%,18.8%,18.8%,-15.8%,,23.0%,17.9%,94.1,"106,400"
Santa Ana  City of,South Coast,8%,0%,Yes,16.7%,15.8%,15.8%,-15.8%,,19.7%,15.7%,68.5,"332,005"
Irvine Ranch Water District,South Coast,8%,0%,Yes,15.6%,15.9%,15.9%,-15.9%,,19.2%,17.0%,75.5,"393,784"
Rubidoux Community Service District,South Coast,20%,0%,Yes,19.9%,15.9%,15.9%,-15.9%,,19.6%,18.0%,119.7,"32,200"
Montecito Water District,Central Coast,32%,31%,Yes,45.8%,46.9%,46.9%,-15.9%,,40.7%,45.9%,209.3,"13,500"
Anaheim  City of,South Coast,13%,0%,Yes,20.2%,15.9%,15.9%,-15.9%,,24.5%,15.6%,94.3,"360,972"
California Water Service Company Kern River Valley,Tulare Lake,25%,0%,Yes,18.5%,16.0%,16.0%,-16.0%,,16.5%,14.3%,138.0,"5,304"
Mountain House Community Services District,San Joaquin River,21%,0%,Yes,27.7%,16.0%,16.0%,-16.0%,,31.7%,3.3%,159.2,"15,617"
Camarillo  City of,South Coast,20%,3%,Yes,21.5%,19.2%,19.2%,-16.2%,,20.3%,18.3%,92.3,"47,550"
Fallbrook Public Utility District,South Coast,28%,0%,Yes,21.3%,16.3%,16.3%,-16.3%,,16.7%,23.3%,70.0,"34,894"
Las Virgenes Municipal Water District,South Coast,35%,0%,Yes,25.2%,16.3%,16.3%,-16.3%,,31.1%,13.9%,204.9,"75,384"
Otay Water District,South Coast,12%,0%,Yes,20.1%,16.4%,16.4%,-16.4%,,25.2%,14.7%,94.3,"220,200"
Moulton Niguel Water District,South Coast,20%,0%,Yes,19.0%,16.4%,16.4%,-16.4%,,21.7%,14.4%,113.0,"172,068"
Santa Margarita Water District,South Coast,23%,0%,Yes,22.5%,16.4%,16.4%,-16.4%,,23.6%,12.3%,121.6,"159,010"
Arvin Community Services District,Tulare Lake,21%,0%,Yes,25.4%,16.4%,16.4%,-16.4%,,32.2%,20.9%,93.5,"20,499"
Norco  City of,South Coast,36%,0%,Yes,23.3%,16.5%,16.5%,-16.5%,,25.2%,17.9%,215.1,"25,890"
Rialto  City of,South Coast,26%,0%,Yes,20.1%,16.6%,16.6%,-16.6%,,17.1%,19.3%,124.5,"54,453"
Downey  City of,South Coast,14%,0%,Yes,19.5%,16.6%,16.6%,-16.6%,,19.0%,12.8%,95.0,"111,931"
Hesperia Water District City of,South Lahontan,28%,0%,Yes,17.2%,16.6%,16.6%,-16.6%,,20.2%,12.5%,117.7,"93,226"
San Dieguito Water District,South Coast,20%,0%,Yes,19.9%,16.6%,16.6%,-16.6%,,20.4%,11.0%,119.2,"37,376"
Carlsbad Municipal Water District,South Coast,20%,0%,Yes,20.9%,16.6%,16.6%,-16.6%,,24.1%,12.0%,117.7,"86,596"
Vaughn Water Company,Tulare Lake,30%,0%,Yes,23.5%,16.6%,16.6%,-16.6%,,28.1%,15.9%,442.7,"31,515"
Westminster  City of,South Coast,13%,0%,Yes,18.1%,16.8%,16.8%,-16.8%,,10.9%,16.4%,83.7,"96,046"
Placer County Water Agency,Sacramento River,28%,0%,Yes,22.9%,16.8%,16.8%,-16.8%,,29.6%,12.2%,210.3,"98,128"
Camrosa Water District,South Coast,24%,0%,Yes,23.9%,17.0%,17.0%,-17.0%,,20.7%,19.4%,159.2,"35,783"
Manhattan Beach  City of,South Coast,18%,0%,Yes,18.4%,17.0%,17.0%,-17.0%,,24.6%,16.7%,90.7,"35,996"
"Tulare, City of",Tulare Lake,30%,0%,Yes,20.6%,17.0%,17.0%,-17.0%,,26.3%,19.0%,153.1,"63,837"
Montebello Land and Water Company,South Coast,9%,0%,Yes,16.9%,17.0%,17.0%,-17.0%,,17.2%,15.5%,73.7,"32,219"
Napa  City of,San Francisco Bay,20%,0%,Yes,23.0%,17.0%,17.0%,-17.0%,,23.5%,16.6%,109.0,"86,848"
California Water Service Company Hermosa/Redondo,South Coast,19%,0%,Yes,18.2%,17.2%,17.2%,-17.2%,,16.9%,15.9%,79.3,"95,946"
Olivenhain Municipal Water District,South Coast,24%,0%,Yes,23.5%,17.2%,17.2%,-17.2%,,28.6%,12.7%,169.2,"84,351"
Lincoln  City of,Sacramento River,28%,0%,Yes,28.2%,17.2%,17.2%,-17.2%,,34.3%,13.2%,194.3,"47,339"
Vallecitos Water District,South Coast,16%,0%,Yes,23.2%,17.3%,17.3%,-17.3%,,27.3%,14.8%,102.4,"97,178"
"Soledad, City of",Central Coast,24%,0%,Yes,20.9%,17.3%,17.3%,-17.3%,,18.2%,15.8%,87.8,"16,729"
Hollister  City of,Central Coast,20%,0%,Yes,20.0%,17.4%,17.4%,-17.4%,,19.0%,11.9%,91.4,"23,021"
Sunnyvale  City of,San Francisco Bay,16%,5%,Yes,27.2%,22.4%,22.4%,-17.4%,,36.2%,19.9%,70.1,"148,372"
Calaveras County Water District,San Joaquin River,13%,0%,Yes,25.4%,17.4%,17.4%,-17.4%,,34.1%,11.7%,138.5,"20,698"
Truckee-Donner Public Utilities District,North Lahontan,25%,0%,Yes,25.1%,17.5%,17.5%,-17.5%,,29.7%,10.8%,145.7,"32,776"
Castaic Lake Water Agency Santa Clarita Water Division,South Coast,28%,0%,Yes,25.3%,17.5%,17.5%,-17.5%,,33.8%,13.7%,175.7,"119,650"
Lomita  City of,South Coast,20%,0%,Yes,17.6%,17.6%,17.6%,-17.6%,,19.4%,17.0%,88.2,"20,463"
Santa Fe Irrigation District,South Coast,28%,0%,Yes,28.3%,17.6%,17.6%,-17.6%,,36.6%,14.0%,524.6,"19,839"
East Bay Municipal Utilities District,San Francisco Bay,16%,0%,Yes,22.5%,17.7%,17.7%,-17.7%,,26.8%,16.2%,84.4,"1,400,000"
San Gabriel County Water District,South Coast,18%,0%,Yes,20.3%,17.7%,17.7%,-17.7%,,23.5%,21.3%,87.2,"45,000"
Rubio Canyon Land and Water Association,South Coast,34%,0%,Yes,26.8%,17.8%,17.8%,-17.8%,,30.8%,7.9%,227.1,"9,600"
Santa Cruz  City of,Central Coast,8%,8%,No,25.8%,21.9%,25.8%,-17.8%,,29.2%,22.9%,46.6,"96,094"
Orange  City of,South Coast,21%,0%,Yes,24.4%,17.9%,17.9%,-17.9%,,31.3%,16.7%,130.0,"140,094"
Port Hueneme  City of,South Coast,8%,0%,Yes,17.2%,18.0%,18.0%,-18.0%,,22.5%,12.6%,53.3,"21,555"
Santa Rosa  City of,North Coast,16%,0%,Yes,24.4%,18.0%,18.0%,-18.0%,,23.6%,19.6%,72.5,"173,071"
Golden State Water Company West Orange,South Coast,9%,0%,Yes,20.5%,18.1%,18.1%,-18.1%,,24.9%,16.7%,91.4,"111,904"
"Yreka, City of",North Coast,30%,0%,Yes,18.4%,18.1%,18.1%,-18.1%,,18.2%,9.1%,168.6,"7,840"
Helix Water District,South Coast,12%,0%,Yes,20.7%,18.1%,18.1%,-18.1%,,26.9%,16.9%,92.2,"271,759"
Pittsburg  City of,San Francisco Bay,19%,0%,Yes,19.6%,18.1%,18.1%,-18.1%,,21.1%,15.6%,86.2,"67,628"
Watsonville  City of,Central Coast,20%,0%,Yes,20.8%,18.2%,18.2%,-18.2%,,22.3%,16.4%,76.5,"65,966"
Newhall County Water District,South Coast,25%,0%,Yes,25.1%,18.2%,18.2%,-18.2%,,29.8%,15.8%,161.8,"45,036"
Trabuco Canyon Water District,South Coast,28%,0%,Yes,25.6%,18.3%,18.3%,-18.3%,,32.8%,9.0%,118.2,"13,175"
Santa Maria  City of,Central Coast,16%,0%,Yes,17.6%,18.4%,18.4%,-18.4%,,15.9%,18.2%,80.6,"102,087"
Sacramento County Water Agency,Sacramento River,24%,0%,Yes,29.8%,18.5%,18.5%,-18.5%,,36.4%,14.9%,167.8,"179,532"
Lakewood  City of,South Coast,12%,0%,Yes,22.8%,18.5%,18.5%,-18.5%,,30.0%,19.9%,90.3,"59,081"
Nevada Irrigation District,Sacramento River,33%,0%,Yes,26.3%,18.6%,18.6%,-18.6%,,38.3%,16.7%,229.7,"44,761"
Fullerton  City of,South Coast,21%,0%,Yes,20.2%,18.6%,18.6%,-18.6%,,21.8%,16.5%,128.3,"138,000"
Amador Water Agency,San Joaquin River,21%,0%,Yes,26.3%,18.6%,18.6%,-18.6%,,32.3%,8.5%,112.1,"23,347"
Pasadena  City of,South Coast,26%,0%,Yes,22.1%,18.7%,18.7%,-18.7%,,21.0%,15.4%,123.6,"166,545"
Delano  City of,Tulare Lake,21%,0%,Yes,19.4%,18.7%,18.7%,-18.7%,,22.5%,16.2%,94.9,"55,459"
Oceanside  City of,South Coast,12%,0%,Yes,20.1%,18.7%,18.7%,-18.7%,,22.2%,20.4%,82.4,"175,948"
La Verne  City of,South Coast,30%,0%,Yes,25.1%,18.8%,18.8%,-18.8%,,28.7%,16.4%,193.0,"32,228"
San Fernando  City of,South Coast,22%,0%,Yes,20.4%,18.8%,18.8%,-18.8%,,24.9%,18.7%,103.2,"24,560"
"Rio Vista, city of",Sacramento River,33%,0%,Yes,24.0%,18.8%,18.8%,-18.8%,,33.0%,21.3%,214.0,"8,324"
